element_mass_g,kinetic_energy_per_element_j,force_per_element_at_1000g0_n,specific_magnetic_moment_a_m2_kg,magnetic_moment_a_m2,required_gradient_at_1000g0_t_m,guide_frame_spacing_m,rotor_diameter_m,packing_ratio,required_center_separation_m,separation_margin_m,infeasible_overlap,aperture_radius_m,navigation_floor_active,pole_tip_field_t,aperture_field_energy_per_length_j_m,neighbor_field_t,neighbor_force_n,neighbor_force_fraction_of_guide,neighbor_field_fraction_of_operating,separation_to_diameter_ratio,point_dipole_valid,geometry_fidelity,packing_fidelity,coupling_fidelity,assumptions,warnings,coupling_warning
1000.0,72000000.00000149,9806.65,126.22633419299679,126.22633419299679,77.69099897178259,43.16035469919093,0.061727939856368694,0.0014302000131042904,0.12345587971273739,43.036898819478196,False,0.07715992482046087,False,5.994631639889247,133717.61202715556,3.139966032769612e-10,2.7549338130054693e-09,2.8092506748027814e-13,1.0475926533586387e-10,699.202902277613,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
500.0,36000000.000000745,4903.325,126.22633419299679,63.113167096498394,77.69099897178259,21.580177349595466,0.04899349833191471,0.0022703010053266833,0.09798699666382941,21.482190352931635,False,0.061241872914893386,False,4.757942285661022,53065.86949964559,1.2559864131078448e-09,1.1019735252021877e-08,2.247400539842225e-12,5.279536142727088e-10,440.47022736357627,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
100.0,7200000.000000149,980.665,126.22633419299679,12.62263341929968,77.69099897178259,4.316035469919094,0.028651571635924213,0.006638400410657723,0.05730314327184843,4.258732326647245,False,0.035814464544905264,False,2.782461528133179,6206.621748426108,3.13996603276961e-08,2.7549338130054685e-07,2.8092506748027803e-10,2.2569699534183958e-08,150.6386988037863,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
50.0,3600000.0000000745,490.3325,126.22633419299679,6.31131670964984,77.69099897178259,2.158017734959547,0.022740767477704163,0.010537803795264198,0.045481534955408326,2.1125362000041386,False,0.028425959347130204,False,2.2084411784098266,2463.099473155079,1.255986413107844e-07,1.1019735252021874e-06,2.2474005398422242e-09,1.1374415813168351e-07,94.896433775832,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
20.0,1440000.0000000298,196.13299999999998,126.22633419299679,2.5245266838599356,77.69099897178259,0.8632070939838188,0.016755540738223804,0.019410800554122757,0.03351108147644761,0.8296960125073711,False,0.020944425922779755,False,1.6271933728312586,725.9308834710278,7.849915081924025e-07,6.887334532513669e-06,3.5115633435034746e-08,9.648410831793706e-07,51.51771031863006,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
10.0,720000.0000000149,98.06649999999999,126.22633419299679,1.2622633419299678,77.69099897178259,0.4316035469919094,0.013298881497076245,0.030812725219159374,0.02659776299415249,0.4050057839977569,False,0.016623601871345307,False,1.2915042358940114,288.0858620195285,3.13996603276961e-06,2.7549338130054677e-05,2.8092506748027797e-07,4.862494362004236e-06,32.45412383641416,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
5.0,360000.00000000745,49.033249999999995,126.22633419299679,0.6311316709649839,77.69099897178259,0.2158017734959547,0.010555329239229628,0.04891215242690066,0.021110658478459256,0.19469111501749545,False,0.013194161549037034,False,1.0250675913397695,114.3269501067413,1.255986413107844e-05,0.0001101973525202187,2.2474005398422237e-06,2.450543600673712e-05,20.44481688869658,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
1.0,72000.0000000015,9.80665,126.22633419299679,0.12622633419299678,77.69099897178259,0.04316035469919094,0.00617279398563687,0.14302000131042902,0.01234558797127374,0.0308147667279172,False,0.007715992482046088,False,0.5994631639889247,13.37176120271556,0.000313996603276961,0.0027549338130054674,0.00028092506748027794,0.001047592653358638,6.99202902277613,True,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
0.5,36000.00000000075,4.903325,126.22633419299679,0.06311316709649839,77.69099897178259,0.02158017734959547,0.0048993498331914714,0.22703010053266834,0.009798699666382943,0.011781477683212527,False,0.006124187291489339,False,0.47579422856610226,5.306586949964561,0.001255986413107844,0.01101973525202187,0.0022474005398422235,0.005279536142727084,4.404702273635763,False,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Point-dipole estimate is not reliable because separation is below five rotor diameters. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Point-dipole estimate is not reliable because separation is below five rotor diameters. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
0.1,7200.000000000149,0.980665,126.22633419299679,0.01262263341929968,77.69099897178259,0.004316035469919094,0.002865157163592422,0.6638400410657724,0.005730314327184844,-0.0014142788572657494,True,0.005,True,0.38845499485891294,2.357770047668148,0.031399660327696095,0.27549338130054674,0.2809250674802779,0.16166434075123925,1.5063869880378626,False,M1-GEOMETRY,M1-PACKING,M1-DIPOLE-COUPLING,"Uniform-density spherical envelope. | Elements are uniformly phased at the OR-1.1 mean guide-frame spacing. | Required surface gap is a fixed multiple of the longitudinal envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length. | Neighbor dipoles are coaxial, aligned, and represented as ideal point dipoles. | Only the nearest neighbor is reported; collective chain dynamics are omitted.","Containment and internal structure are not represented. | Required center separation exceeds guide-frame stream spacing. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction. | Point-dipole estimate is not reliable because separation is below five rotor diameters. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.",Point-dipole estimate is not reliable because separation is below five rotor diameters. | Soft-ferromagnetic free-flight moment may be much lower than this guide-magnetized worst case.
